data_coleta,data_entrega,empresa,cnpj,categoria,tipo,assunto,materialidade,termos_encontrados,link,fingerprint
2026-09-21T18:25:36,2026-09-15T00:00:00,MARISA LOJAS SA,61189288000189,Fato Relevante,nan,Reenquadramento da cotação das ações da Companhia,alta,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1568195&numSequencia=1092901&numVersao=1,cafedb93f5bd8cc5
2026-09-14T18:18:20,2026-09-11T00:00:00,MARISA LOJAS SA,61189288000189,Fato Relevante,nan,Tratamento excepcional | Desenquadramento do percentual mínimo de ações em circulação no mercado | Extensão automática de prazo pela B3,alta,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1567396&numSequencia=1092102&numVersao=1,54d67f36f8b85720
2026-09-14T18:18:20,2026-09-10T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Alteração de Membros do Conselho de Administração,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1567130&numSequencia=1091836&numVersao=1,8eacee013471dcb8
2026-09-14T18:18:20,2026-09-09T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,AMERICANAS Reconhecida como Marca de Alto Renome,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1566430&numSequencia=1091136&numVersao=1,3e8248de03a25b35
2026-09-14T18:18:20,2026-09-08T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,Notícia divulgada na mídia,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1565933&numSequencia=1090639&numVersao=1,3020f45e5621e386
2026-09-06T15:56:33,2026-09-03T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Assembleia,AGE,Mapa Final de Votação Detalhado - AGE 03/09/2026,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1564715&numSequencia=1089421&numVersao=1,6372e7af15daf81d
2026-09-06T15:56:33,2026-09-03T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Assembleia,AGE,"Alterar, consolidar o Estatuto Social, atualizar o capital social decorrente do exercício de bônus de subscrição, fixar o número, eleger os membros do Conselho de Administração e autorizar...",média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1564717&numSequencia=1089423&numVersao=1,f5a24365b94eff93
2026-09-06T15:56:33,2026-09-03T00:00:00,MARISA LOJAS SA,61189288000189,Calendário de Eventos Corporativos,nan,nan,baixa,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1564397&numSequencia=1089103&numVersao=5,250670989003eb3d
2026-09-06T15:56:33,2026-09-01T00:00:00,MARISA LOJAS SA,61189288000189,Calendário de Eventos Corporativos,nan,nan,baixa,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1563387&numSequencia=1088093&numVersao=4,b7b7677dcd75e1a8
2026-09-06T15:56:33,2026-09-01T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Assembleia,AGE,Mapa de Votação Sintético Consolidado AGE,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1563704&numSequencia=1088410&numVersao=1,646fb0759f6a1139
2026-09-06T15:56:33,2026-08-31T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,Notícia divulgada na mídia,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1562894&numSequencia=1087600&numVersao=1,39ea79fe53ff6f54
2026-09-06T15:56:33,2026-08-31T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Fato Relevante,nan,Deferimento de Tutela de Urgência na Recuperação Judicial,alta,recuperação judicial|ação judicial,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1562849&numSequencia=1087555&numVersao=1,80d8be7b33455ba0
2026-08-26T13:50:00,2026-08-24T00:00:00,CVLB BRASIL S.A EM RECUPERAÇÃO JUDICAL,16233389000155,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,"Resposta Ofício nº 241/2026-SLE, de 11/08/2026, sobre o andamento do proc. de recuperação judicial e, em especial, da apresentação de objeções ao Plano de Recuperação Judicial.",alta,recuperação judicial|ação judicial,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1560634&numSequencia=1085340&numVersao=1,7ebf81dca796d9ff
2026-08-26T13:50:00,2026-08-21T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Aviso aos Acionistas,Outros avisos,Aumento de capital por exercício de bônus de subscrição,baixa,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1560332&numSequencia=1085038&numVersao=1,fe95da43716a2cf5
2026-08-26T13:50:00,2026-08-21T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Esclarecimentos acerca de notícia veiculada na mídia,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1560487&numSequencia=1085193&numVersao=1,9aa1d7ba86d93074
2026-08-26T13:50:00,2026-08-18T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,Esclarecimentos acerca de notícia veiculada na mídia,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1559232&numSequencia=1083938&numVersao=1,eea4299e366a5646
2026-08-26T13:50:00,2026-08-17T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,Apresentação de Resultado 2T26 - Videoconferência,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1558693&numSequencia=1083399&numVersao=1,969bd473f1afdecb
2026-08-26T13:50:00,2026-08-17T00:00:00,MARISA LOJAS SA,61189288000189,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,Apresentação de resultados 2T26,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1558416&numSequencia=1083122&numVersao=1,40850d11daad334a
2026-08-16T13:26:02,2026-08-16T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,Apresentação de Resultado 2T26,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1558370&numSequencia=1083076&numVersao=1,e7495d97d03c2126
2026-08-16T13:26:02,2026-08-14T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Disponibilização Term Sheet na CVM,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1558099&numSequencia=1082805&numVersao=1,dcaec92e50559728
2026-08-16T13:26:02,2026-08-13T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Comunicado ao Mercado - Fechamento Inicial HNT,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1557416&numSequencia=1082122&numVersao=1,8eddd9d2454090a7
2026-08-16T13:26:02,2026-08-13T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,Apresentação de Resultados 2T26,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1556826&numSequencia=1081532&numVersao=1,90b444d319a46553
2026-08-16T13:26:02,2026-08-12T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Fato Relevante,nan,Term Sheet das debêntures do Plano de Recuperação Extrajudicial,alta,debêntures,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1556765&numSequencia=1081471&numVersao=1,db12dab593d1d4ca
2026-08-16T13:26:02,2026-08-11T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Calendário de Eventos Corporativos,nan,nan,baixa,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1556064&numSequencia=1080770&numVersao=2,5d303bd36d163164
